MathRes-MX,ReadingRes-MX,ScienceRes-MX,MathRes-JP,ReadingRes-JP,ScienceRes-JP,MathRes-UK,ReadingRes-UK,ScienceRes-UK
531.399,517.4176,452.7602,598.3876,571.7686,614.0806,554.2997,616.4680000000001,615.2928
452.8042,489.5373,497.0533,639.4376,655.0907,659.959,564.1143,554.1258,588.1574
522.9864,522.0246,456.9564,697.3127,692.7821,738.9407,578.2131,502.2399,515.4233
422.3477,363.4232,396.0649,637.0229,645.1426,631.4248,599.2444,605.4503,566.0574
368.601,378.6602,334.5207,669.3488,707.2973,719.3584,507.7193,563.3287,515.7963
428.8908,467.376,391.962,606.9559,626.3009,691.4771,540.7462,552.2083,552.7229
298.1851,347.2763,368.0903,651.1217,615.7954,627.3219,536.2284,529.8088,592.7266
399.0575,421.1472,425.8113,695.9885,716.0745,720.5707,315.7891,310.0939,362.6818
511.1466,520.4441,558.3178,672.4646,621.4892,701.2682,568.4764,587.158,570.8131
495.8015,487.5644,527.2659,590.2866,649.1142,646.3446,605.8654,574.9764,593.1928
260.4845,253.5477,341.3279,682.5129,626.3009,711.2458,398.2785,456.8911,478.7766
427.7224,424.9324,461.3391,597.1413,622.0282,671.2421,357.3843,336.9503,343.2861
396.7986,482.7856,351.865,594.8045,664.1266,641.4025,474.3029,508.4419,440.8243
459.1915,468.3177,444.2745,592.234,608.6044,615.8523,401.0048,395.3407,473.8344
515.8202,549.19,487.2622,465.6566,513.2871,493.4166,560.9986,549.0311,532.9541
382.0766,390.1691,392.0552,610.9285,610.4313,639.4442,439.6401,469.4412,486.423
442.6001,432.2675,467.8665,656.8079,596.5487,662.4767,585.3793,672.3875,693.5285
352.3212,298.3855,358.1126,541.6809,532.1123,616.3185,350.6076,427.7399,465.069
459.1136,453.8827,455.0914,640.3723,625.5232,677.6762,626.5851,612.3376,675.0653
470.0187,455.9677,498.2656,630.4019,666.8273,679.5412,578.9921,579.2149,575.3823
437.9265,424.3711,437.0944,627.9872,572.5705,649.7016,538.9547,538.6256,578.8325
408.6384,443.5467,460.0336,660.7026,633.5184,634.5953,584.6004,618.5219999999999,653.4316
573.3837,497.1075,510.7609,692.8727,687.4794,738.288,728.5481,710.2761,688.2134
407.7816,359.191,419.0974,570.5016,581.3595,663.8754,592.7014,610.1818,612.4021
467.7598,514.8758,488.1015,574.1626,595.3394,608.6721,403.0301,403.1997,391.3092
626.8967,655.8124,604.9422,598.4655,518.053,584.7072,344.2203,350.3741,416.5796
328.8752,215.8653,327.9933,655.4058,671.196,667.3256,445.7158,506.7308,443.342
424.37300000000005,401.2894,444.5543,651.4332,597.4308,696.6057,513.9508,455.4865,544.7035
353.0223,410.5776,365.2928,627.2862,659.6785,655.2965,575.8763,516.4644,537.1503
459.7367,530.9208,508.8959,666.7004,635.844,696.326,556.2471,542.9149,556.4528
341.3382,362.4609,410.9847,734.7017,708.821,730.5483,443.5348,516.2261,480.1753
626.5072,592.6994,542.7452,638.2692,710.1172,661.7307,377.6367,402.87800000000004,364.7333
513.4834,526.9493,512.6259,692.0159,716.4717,688.7728,599.1665,567.7589,538.549
297.7956,369.517,310.1828,629.0777,622.8225,667.5121,362.05800000000005,434.6504,406.6953
408.4826,366.4706,396.3446,496.3468,400.1523,460.2201,527.2706,602.9648,587.2249
458.6462,482.1502,434.2969,487.7006,438.8863,491.1787,478.587,430.3857,542.6519999999999
410.6637,416.5402,412.8497,399.8364,289.7245,365.2928,632.3493,647.5256,637.9523
445.8716,445.8632,420.5893,454.2842,432.2675,430.3805,428.735,371.9239,437.9336
473.9913,516.4344,530.9959,475.3155,378.4196,427.4897,481.6249,455.3025,416.8594
510.835,469.4412,475.3264,473.2123,397.9871,449.2167,554.2997,552.9232,624.6177
437.3033,455.1658,432.9914,593.1687,504.6458,604.0097,585.1457,558.1355,601.0257
372.9631,403.6723,360.6304,541.2136,491.5741,573.6106,491.05,541.1343,531.1824
371.1715,315.9481,341.7009,416.973,391.7577,370.608,367.7442,449.1863,387.6725
289.8504,342.431,344.7781,419.3878,425.6747,450.3357,298.5745,277.6953,386.74
421.6467,364.8667,429.5412,474.5365,405.7659,485.5837,626.4294,591.0153,626.3894
388.38599999999997,457.05,391.962,550.8724,619.6453,624.2447,507.2519,523.6132,486.5162
290.941,270.2282,367.8105,483.8838,365.6687,480.9213,427.8782,461.101,453.8791
431.1497,461.1002,471.5964,438.7833,412.648,432.4319,493.3868,501.037,514.3976
414.4804,448.9908,445.4868,366.4979,405.4993,426.837,535.4494,558.7771,587.1317
442.8338,398.5484,502.0888,492.1405,499.5935,537.2436,548.4577,589.7792,590.9549
375.1441,348.9882,400.3543,478.1975,529.0939,527.5457,626.5851,618.7715,658.9332
465.1893,412.3419,466.934,375.6894,345.6877,341.7009,454.2842,460.0684,479.9888
400.4596,354.3613,368.0903,467.6819,438.3837,506.285,563.2575,570.4053,597.4823
365.0179,407.5302,373.3122,506.5509,446.9057,517.2883,516.5213,484.5972,570.4401
293.0441,223.0829,350.1865,432.2402,470.315,459.4741,528.5948,525.9775,482.8795
458.6462,502.8013,469.7314,500.2415,508.4149,547.8739,549.3145,581.3919,600.0932
400.6154,420.3529,420.2163,566.7627,519.562,606.9004,424.1393,405.2046,444.5543
429.3582,308.089,348.3215,424.2172,550.5403,529.5039,389.7102,295.0975,376.2029
413.31199999999995,430.0434,404.0843,545.8872,508.4149,515.7963,448.2863,450.1135,453.8791
332.1468,367.6107,304.3081,428.6571,385.7173,414.0619,571.2027,608.6044,604.6624
614.9011,580.2692,609.2316,410.8194,370.9468,355.8747,345.3108,398.1122,372.1
494.2437,485.9605,507.031,423.8277,434.0944,486.5162,499.151,468.3177,563.3532
312.7512,383.0203,368.0903,493.3089,439.4476,464.7893,483.3385,469.3602,527.5457
522.8307,534.0981,518.2208,456.621,481.1488,493.9761,661.0142,622.2109,654.4573
451.1684,412.1815,401.6598,504.2141,412.4098,468.1462,485.5196,561.7401,525.401
480.2228,384.1134,475.9791,473.5239,400.0721,431.4994,452.7263,449.07099999999997,425.9045
438.8612,456.5734,408.7467,443.6127,452.5193,459.4741,575.2532,547.1489,622.6595
567.2301,523.0103,503.1145,598.076,643.554,573.6106,370.2368,421.1472,410.332
515.8202,483.715,490.0597,508.4982,493.17800000000005,461.712,610.3832,596.6103,628.3476
492.1405,441.8535,452.0142,593.0129,523.6519,527.8254,511.2245,514.8305,572.5849
421.5688,437.9865,439.7053,565.0491,580.5652,542.6519999999999,676.2814,664.1266,650.3543
304.1829,356.0137,391.4025,535.3716,568.8889,467.5867,374.9104,411.6154,495.5614
432.1623,460.8627,443.6218,560.1418,612.8142,546.1954,610.0717,641.1711,645.9717
278.4001,291.0878,336.6654,567.3859,628.3032,587.1317,594.6487,587.6471,640.2835
354.5802,493.5883,430.56699999999995,513.4834,579.9298,485.30400000000003,603.7623,601.6939,603.0772
460.6714,493.4294,449.4965,518.2349,567.5385,525.6807,582.0299,541.2145,565.4979
453.5831,457.6854,445.3935,582.8867,633.2280000000001,540.3208,536.0726,529.8882,522.6035
440.2633,457.6854,396.0649,435.6675,412.9835,378.6274,523.0643,496.6263,590.0224
487.2332,412.9835,481.574,594.7266,659.4212,624.5244,507.3298,553.0026,509.5487
434.8107,374.2829,416.5796,579.6152,577.8646,534.0731,354.8138,385.9579,441.7568
443.8464,494.0648,482.7863,520.5717,531.6713,526.3335,447.5853,419.3188,459.5673
571.1248,491.5741,523.8157,490.9721,458.13300000000004,405.3898,394.4618,401.5156,427.0235
426.1645,396.4441,428.702,480.9238,511.4623,424.8788,551.8071,521.0055,609.7911
371.6389,394.8555,314.9385,586.0804,619.7249,608.5789,560.2976,566.155,568.8549
552.664,521.246,548.7132,665.3762,622.8225,605.5949,528.3611,611.8658,580.9772
442.8338,414.5873,472.5289,547.7567,573.2923,519.806,547.9903,606.4928,617.997
423.1267,401.9166,421.0556,473.2902,491.4939,493.1369,610.0717,524.4538,570.2536
557.026,540.4125,544.3305,585.1457,654.6743,628.0679,583.3541,612.4965,659.959
466.4356,578.2617,444.5543,486.3764,487.3238,474.5804,441.8212,463.2456,403.5248
438.0823,427.0977,422.7341,577.8236,605.4503,572.6781,528.3611,600.6613,626.1097
397.4217,456.2557,444.3678,586.0804,581.3595,534.2596,552.8976,626.0792,591.3279
611.7074,489.1682,535.8448,650.6543,591.9238,608.0194,545.4198,548.2368,510.5744
379.584,396.1426,438.8661,501.0983,487.8049,439.8918,447.1958,476.1929,457.6091
455.9978,448.1537,398.2096,558.6618,547.4425,485.5837,436.4465,393.1754,419.3771
336.1193,367.2726,331.4435,502.8899,589.4615,506.1917,628.8441,627.1028,649.0489
407.5479,430.8378,373.4987,574.7858,627.5884,534.0731,598.6213,608.8986,631.0518
569.7227,618.1361,526.893,502.5783,485.1585,459.4741,570.0343,550.1161,613.7076
382.0766,442.5935,431.2197,544.6409,490.7721,552.5364,544.7967,456.8499,490.4327
336.7425,337.6006,326.0351,637.1008,638.2498,625.4569,558.8176,570.7261,646.1581
390.4113,507.8858,427.7695,553.9882,526.8597,507.031,431.8508,423.3712,447.2585
368.0558,394.9349,364.0806,471.6545,446.0091,496.7736,595.3497,565.3530000000001,579.4853
405.5227,476.9077,343.4726,497.5931,452.2788,511.1339,378.7272,447.3594,369.7687
424.8403,444.9765,412.1969,472.2776,462.4513,505.8187,350.0623,343.7756,407.4413
453.5052,453.0784,445.4868,578.1352,600.6613,586.1059,529.919,563.7491,625.7367
417.8299,502.9611,439.2391,560.9207,532.7139,604.9422,276.9201,364.1951,333.5882
347.0245,371.8999,385.5278,598.1539,625.2054,575.1026,408.3268,445.7708,369.0228
322.7216,305.5228,380.1194,603.9959,614.8,612.3088,613.2653,578.6589,608.6721
450.4674,458.4797,406.22900000000004,468.5387,486.5189,493.0436,422.4256,466.4228,427.1167
429.0466,482.9445,491.1787,510.0561,535.5278,607.1802,432.5518,442.6554,495.1884
406.1458,378.981,427.3965,470.8755,373.1268,474.3939,523.8433,610.4313,559.2503
419.3878,402.5582,410.332,657.5869,660.7043,703.5062,540.0452,542.0966,572.5849
388.0745,383.1791,394.0134,654.2374,602.1623,646.9041,512.2371,475.0808,463.2973
345.4666,397.7465,395.7852,608.6696,599.7081,627.2286,459.8146,409.7757,475.0466
377.4809,408.5971,368.6498,476.9512,451.4768,453.5994,541.9925,514.8758,567.0832
427.1771,452.9196,417.7919,538.4873,426.6165,513.8381,659.9237,644.3483,661.6374
371.7168,337.6006,377.4151,557.2597,588.5877,589.9291,598.855,595.8954,547.5009
345.7003,410.6623,356.9004,398.2007,381.6274,466.6542,519.8707,638.6293,569.4144
412.4552,406.5679,424.972,543.862,556.1799,557.1988,589.0403,606.2522,643.9202
443.0675,502.8013,491.1787,520.4938,536.3221,565.5912,438.8612,440.7666,420.4961
271.7012,201.2699,219.8247,596.596,511.6191,570.4401,347.6476,291.8897,327.3405
500.2415,457.0904,468.79900000000004,579.0699,498.551,619.116,513.7171,513.4672,533.1406
471.5766,416.6724,451.6412,530.62,488.5841,556.1731,512.3929,565.3530000000001,552.1634
453.5831,374.3623,462.5513,439.4843,429.0903,437.0944,655.4837,708.9257,712.1783
401.4722,384.6089,374.8974,549.6261,550.5403,551.8836,422.2698,421.2435,460.4066
328.8752,413.2041,326.1283,625.5725,498.2302,593.7523,562.5565,485.1585,520.8318
391.8913,433.7538,424.972,439.5622,408.1718,415.3674,445.0148,485.3991,456.6766
477.8081,487.0749,429.9142,464.7219,535.4484,550.0186,480.76800000000003,492.376,472.3424
284.4758,316.75,327.0608,539.3441,500.1549,586.4789,477.3407,449.07099999999997,528.8512
523.6875,483.6348,541.8128,487.0774,469.0441,569.5076,393.6049,464.5485,429.6345
328.1742,398.1916,385.1548,520.5717,555.3856,577.2473,383.1672,488.5841,367.1578
560.2197,535.0395,466.7475,504.1362,422.7358,460.4066,536.2284,571.9072,569.4144
295.8483,337.4402,408.1872,462.9304,359.9853,425.2518,489.4142,460.3067,450.1492
330.9005,357.6492,358.7654,496.4247,434.0746,494.9086,461.0609,366.3904,446.4192
343.1298,453.7139,378.0679,371.0936,293.2531,450.3357,491.6732,468.3177,496.7736
522.0517,490.1306,504.9795,444.3138,476.9787,488.288,501.7993,530.6825,469.4517
377.2472,417.7951,381.0518,637.8018,575.7783,617.4375,370.8599,439.6546,426.837
