CNT,ST04Q01,AGE,ST05Q01,ST06Q01,ST08Q01,ST09Q01,ST115Q01,CLCUSE1,PV1MATH,PV1READ,PV1SCIE
Mexico,0,16.0,3,6.0,1,1,1.0,3,405.289,353.6395,369.86199999999997
Mexico,0,15.58,3,6.0,1,1,2.0,3,376.5462,418.2763,356.5274
Mexico,1,15.67,3,6.0,2,2,2.0,3,423.4382,403.0369,391.0295
Mexico,0,15.92,3,6.0,2,1,1.0,3,354.1128,332.9493,422.7341
Mexico,1,15.67,1,6.0,1,1,1.0,3,420.7119,453.6345,424.972
Mexico,1,15.58,1,6.0,2,2,2.0,3,391.1902,326.7831,372.5662
Mexico,1,15.5,2,5.0,2,2,1.0,3,280.659,346.5614,358.1126
Mexico,0,15.75,2,6.0,1,1,1.0,3,476.3281,497.1877,450.1492
Mexico,0,15.58,3,6.0,1,1,1.0,2,562.868,522.2084,537.4301
Mexico,1,15.58,3,6.0,2,1,1.0,3,391.4239,431.4732,488.3812
Mexico,1,16.08,3,6.0,1,1,1.0,3,446.7285,431.4732,386.74
Mexico,0,15.75,3,6.0,1,1,1.0,3,566.9185,587.0055,552.7229
Mexico,1,15.33,3,5.0,1,1,1.0,3,390.0997,451.1721,409.1197
Mexico,0,15.33,3,7.0,2,1,1.0,3,407.6258,368.0745,347.4823
Mexico,0,15.25,3,6.0,1,1,1.0,2,316.1006,251.6321,297.2212
Mexico,1,15.75,3,6.0,1,1,2.0,2,448.0527,481.6736,378.3476
Mexico,0,15.42,1,7.0,1,1,1.0,2,404.3543,413.7052,422.1746
Mexico,0,15.33,3,6.0,2,2,3.0,1,352.3991,415.0685,380.7721
Mexico,1,15.92,3,6.0,2,1,1.0,3,424.0614,445.7708,466.2812
Mexico,0,16.08,3,6.0,1,1,1.0,3,364.94,380.1037,395.7852
Mexico,1,15.42,3,5.0,2,1,1.0,3,338.6898,387.7861,399.7949
Mexico,1,15.92,2,6.0,1,1,2.0,3,491.3616,521.8657,510.7609
Mexico,1,16.0,3,6.0,1,1,1.0,3,420.1667,374.2829,442.969
Mexico,0,16.0,3,6.0,1,1,2.0,2,448.2084,491.2533,425.5315
Mexico,1,15.67,3,7.0,1,2,1.0,1,435.5118,513.2077,477.1913
Mexico,1,15.42,3,5.0,1,1,1.0,3,403.8869,407.6439,414.7147
Mexico,0,16.17,3,6.0,2,1,1.0,3,355.8265,335.8363,360.6304
Mexico,0,16.0,3,6.0,1,1,1.0,2,550.5608,546.9083,552.7229
Mexico,0,15.33,1,5.0,2,1,1.0,4,514.496,507.61300000000006,496.4938
Mexico,1,15.5,3,6.0,4,1,1.0,3,315.7891,383.4969,380.7721
Mexico,0,15.67,3,6.0,2,1,1.0,2,535.2937,506.1695,527.3592
Mexico,1,15.25,3,7.0,1,1,1.0,3,457.8673,461.657,462.2715
Mexico,0,15.58,3,6.0,1,1,1.0,3,368.8347,395.3407,363.4278
Mexico,1,15.25,3,6.0,2,2,1.0,3,339.9361,414.475,324.8228
Mexico,0,15.92,2,6.0,1,1,1.0,1,317.269,245.4571,338.5304
Mexico,0,16.0,3,7.0,3,1,1.0,3,405.4448,451.4768,433.0847
Mexico,1,15.33,2,6.0,1,1,1.0,1,448.9874,486.7572,414.3417
Mexico,1,16.08,2,7.0,2,1,1.0,1,342.974,351.3273,320.8131
Mexico,1,16.17,3,6.0,2,2,2.0,2,335.5741,341.7162,435.2294
Mexico,0,16.08,3,6.0,1,1,1.0,3,334.4057,349.6298,378.2544
Mexico,0,16.0,3,6.0,1,1,1.0,2,494.711,488.2861,490.2462
Mexico,1,15.75,2,6.0,2,1,2.0,3,453.5831,470.3944,431.4062
Mexico,1,15.92,2,6.0,1,1,1.0,3,424.6845,542.6766,501.436
Mexico,1,15.67,3,6.0,1,1,1.0,3,572.6827,624.6494,555.3338
Mexico,1,15.92,1,6.0,1,1,1.0,2,364.7842,466.4228,307.3853
Mexico,0,15.25,3,6.0,1,1,1.0,3,622.5347,533.2752,593.7523
Mexico,0,16.0,3,6.0,2,2,2.0,3,459.0357,432.2301,437.0011
Mexico,0,15.83,2,7.0,2,1,2.0,3,465.1893,519.0006,466.7475
Mexico,1,15.67,2,6.0,2,1,2.0,3,539.422,575.2433,513.5584
Mexico,1,16.17,3,6.0,1,1,1.0,3,384.9587,446.724,406.3223
Mexico,0,15.5,2,6.0,1,1,1.0,3,369.38,412.3419,390.2835
Mexico,0,16.08,2,6.0,1,1,1.0,3,300.8335,279.8606,258.0567
Mexico,1,15.83,3,6.0,1,1,1.0,3,422.5814,433.8561,412.8497
Mexico,0,15.42,3,6.0,2,1,1.0,3,488.5574,533.4356,499.3846
