CNT,ST04Q01,AGE,ST13Q01,ST17Q01,ST19Q01,ST15Q01,ST26Q10,ST26Q02,BFMJ2,BMMJ1,PV1MATH,PV1READ,PV1SCIE
Mexico,1,15.83,1,1,1,1,1,1,76.65,58.77,477.7302,488.6635,421.1488
Mexico,0,15.92,2,2,4,1,1,1,57.03,30.9,371.2494,388.2835,325.7553
Mexico,1,15.83,1,2,1,4,1,2,62.45,62.39,455.0631,509.4745,467.8665
Mexico,1,15.33,3,4,1,4,1,1,18.07,30.9,317.6585,376.6658,393.2674
Mexico,1,15.25,3,1,1,2,1,2,51.5,24.98,461.2946,551.5729,515.2369
Mexico,1,15.67,2,3,1,1,1,2,33.16,44.94,533.7358,478.3375,480.9213
Mexico,1,16.08,3,3,1,4,1,2,41.63,35.34,679.5529,581.5978,671.4286
Mexico,0,15.75,1,2,1,2,2,1,39.04,88.7,324.3574,292.6917,335.7329
Mexico,1,16.17,2,3,1,2,2,1,30.34,24.53,318.2817,374.4417,273.536
Mexico,0,15.67,1,1,1,4,1,1,79.31,56.0,540.2789,554.2862,552.3499
Mexico,0,16.08,3,1,1,1,1,2,30.78,16.5,422.3477,322.524,418.2581
Mexico,0,16.08,2,2,1,2,1,1,75.54,44.94,486.2206,411.54,504.2335
Mexico,0,15.92,3,1,1,1,1,1,76.65,41.22,411.4426,401.1147,439.8918
Mexico,1,15.5,3,5,1,4,1,2,51.5,50.15,357.3843,434.6504,358.7654
Mexico,1,16.0,2,1,3,2,1,1,26.64,29.47,489.57,508.5213,510.7609
Mexico,0,16.17,5,5,1,1,1,2,21.08,62.13,370.4705,300.0696,286.5908
Mexico,1,15.33,2,2,1,1,1,1,65.01,76.49,447.4295,554.2735,505.7255
Mexico,1,15.92,3,3,1,4,1,1,25.06,23.57,422.8151,461.657,451.0817
Mexico,1,15.5,3,3,1,1,1,1,26.8,16.5,463.3198,530.6031,438.9593
Mexico,1,16.08,5,4,1,4,1,2,15.35,16.5,452.7263,411.7743,425.718
Mexico,1,16.0,1,1,2,4,2,2,78.17,70.09,515.0413,489.4578,431.4994
Mexico,1,15.67,3,2,1,1,1,1,51.5,28.48,405.4448,433.0618,424.0395
Mexico,0,15.5,5,1,2,4,2,1,24.16,75.54,437.1475,429.0224,482.7863
Mexico,0,16.0,4,4,4,2,2,2,22.57,50.15,225.2765,291.0878,263.6516
Mexico,1,15.92,1,2,1,4,1,1,30.78,85.85,497.9047,507.0915,482.7863
Mexico,0,15.75,2,1,1,1,1,1,40.54,76.49,565.828,523.3311,556.0798
Mexico,1,15.25,4,4,2,2,2,2,29.47,29.47,390.4892,385.4826,318.9482
Mexico,0,15.67,3,1,1,1,1,1,44.94,62.13,357.1506,356.8473,428.702
Mexico,1,15.58,2,1,1,2,1,1,21.96,76.65,440.1854,541.0086,440.8243
Mexico,1,15.33,2,2,2,2,1,1,76.49,81.92,503.3572,543.6298,410.9847
Mexico,1,16.08,2,1,1,3,1,1,62.45,73.91,385.9713,323.447,370.608
Mexico,1,16.08,3,3,1,4,1,1,41.27,30.9,355.2812,471.9036,360.6304
Mexico,1,16.08,1,2,1,4,1,1,51.5,23.47,573.4616,632.5925,532.9541
Mexico,1,15.75,5,4,1,3,2,2,75.54,23.53,374.3652,380.7962,333.2152
Mexico,0,16.17,3,3,1,1,2,2,22.57,16.38,471.3429,432.9519,491.1787
Mexico,0,16.0,4,3,2,4,2,2,16.5,16.5,336.8983,348.0259,366.2253
Mexico,1,15.25,2,2,1,1,1,2,79.05,53.6,433.4086,439.0986,404.0843
Mexico,0,15.83,4,3,1,4,1,2,32.5,41.63,409.8847,372.0843,416.5796
Mexico,1,15.75,5,5,4,3,2,2,11.74,16.38,477.7302,514.0815,454.7184
Mexico,0,15.83,3,3,1,4,1,2,34.25,44.94,383.6345,374.4901,414.7147
Mexico,0,16.0,1,2,1,4,1,1,78.17,88.31,451.6358,372.8862,424.0395
Mexico,0,15.83,3,3,2,4,2,1,61.18,31.08,397.6554,391.3309,392.0552
Mexico,0,16.17,3,4,1,4,1,1,28.53,21.24,510.4456,483.5546,492.9504
Mexico,0,15.5,4,4,1,3,1,2,35.07,16.5,379.8177,422.7672,424.599
Mexico,0,16.0,5,4,1,1,1,2,35.34,35.34,441.3538,397.9069,459.1011
Mexico,0,16.0,2,3,2,1,1,1,41.63,41.63,398.668,411.2192,430.56699999999995
