CNT,ST04Q01,AGE,ST57Q01,ST57Q02,ST57Q03,ST57Q05,ST57Q06,PV1MATH,PV1READ,PV1SCIE
Mexico,1,16.0,4.0,2.0,1.0,2.0,3.0,311.0375,439.4163,369.86199999999997
Mexico,0,15.83,3.0,2.0,4.0,9.0,10.0,333.8604,348.1863,391.0295
Mexico,1,16.08,2.0,1.0,0.0,1.0,2.0,374.9883,426.7073,379.5599
Mexico,1,16.17,2.0,2.0,1.0,2.0,2.0,323.1111,268.4808,211.4323
Mexico,0,15.5,8.0,0.0,0.0,5.0,8.0,387.2955,418.7575,463.0175
Mexico,1,15.75,2.0,1.0,1.0,0.0,2.0,332.7699,381.5905,387.6725
Mexico,0,16.17,3.0,2.0,0.0,0.0,1.0,513.795,492.5364,487.0757
Mexico,1,15.25,5.0,1.0,1.0,1.0,2.0,373.4304,412.092,354.6624
Mexico,1,15.5,2.0,1.0,0.0,2.0,1.0,424.0614,485.1686,400.3543
Mexico,0,15.25,2.0,1.0,2.0,3.0,4.0,434.4991,398.5484,402.5923
Mexico,0,15.67,24.0,0.0,0.0,4.0,14.0,621.1326,695.2681,594.0321
Mexico,0,15.5,5.0,2.0,2.0,3.0,2.0,477.3407,488.3663,481.8538
Mexico,0,16.08,8.0,7.0,0.0,0.0,7.0,501.4878,482.5923,441.7568
Mexico,1,15.83,6.0,5.0,0.0,2.0,8.0,402.5627,532.3506,435.2294
Mexico,1,15.42,12.0,5.0,0.0,0.0,2.0,528.2832,489.4578,476.2589
Mexico,0,15.5,2.0,1.0,3.0,2.0,1.0,406.0679,356.0454,340.0224
Mexico,1,15.67,3.0,1.0,0.0,1.0,1.0,472.3555,471.1887,442.969
Mexico,1,15.67,9.0,5.0,30.0,4.0,3.0,388.1524,367.1341,393.1742
Mexico,1,15.92,2.0,0.0,0.0,3.0,6.0,475.3934,479.9261,455.6509
Mexico,0,15.92,6.0,2.0,0.0,0.0,4.0,526.7253,515.7928,483.5323
Mexico,1,15.25,12.0,10.0,3.0,5.0,3.0,494.4773,445.7708,494.9086
Mexico,1,16.0,3.0,2.0,2.0,3.0,1.0,397.1101,447.2005,411.9172
Mexico,1,15.33,5.0,2.0,1.0,3.0,4.0,268.1181,287.8619,301.8836
Mexico,1,15.92,4.0,2.0,6.0,2.0,4.0,273.7264,305.6545,211.9918
Mexico,1,15.92,17.0,1.0,0.0,0.0,7.0,551.7292,562.5344,485.4905
Mexico,1,15.75,3.0,1.0,0.0,0.0,0.0,423.9056,506.2972,449.2167
Mexico,0,15.75,8.0,2.0,6.0,4.0,1.0,420.7898,439.4476,450.1492
Mexico,1,16.08,2.0,1.0,0.0,1.0,2.0,339.2351,353.6308,429.3547
Mexico,1,16.08,20.0,1.0,0.0,3.0,2.0,466.8251,503.7554,470.5707
Mexico,0,15.67,2.0,1.0,0.0,3.0,3.0,298.964,364.8667,339.1831
Mexico,1,15.83,4.0,1.0,0.0,1.0,2.0,357.8517,464.5165,381.7046
Mexico,0,15.5,8.0,2.0,0.0,4.0,1.0,425.1519,335.9967,429.6345
Mexico,1,15.5,4.0,1.0,0.0,0.0,4.0,404.4322,424.4833,380.9586
Mexico,0,16.17,4.0,1.0,0.0,1.0,2.0,423.3603,404.1621,399.7949
Mexico,0,15.5,13.0,2.0,0.0,2.0,2.0,506.7067,555.7297,444.2745
Mexico,1,15.58,2.0,1.0,2.0,0.0,1.0,402.0174,348.7855,402.5923
Mexico,1,15.83,2.0,2.0,0.0,0.0,0.0,462.0735,447.3594,421.2421
Mexico,1,16.17,20.0,8.0,4.0,0.0,18.0,482.7933,475.9546,446.4192
Mexico,1,16.0,5.0,3.0,0.0,2.0,2.0,433.2528,440.2106,424.972
Mexico,1,16.17,5.0,2.0,10.0,0.0,0.0,462.0735,483.2622,507.9634
Mexico,1,15.67,10.0,5.0,3.0,2.0,2.0,424.8403,335.04400000000004,386.36699999999996
Mexico,1,15.67,4.0,4.0,0.0,0.0,0.0,421.6467,498.1952,427.6762
Mexico,1,15.75,2.0,2.0,0.0,1.0,1.0,371.1715,347.2763,369.9552
Mexico,1,15.58,2.0,2.0,1.0,2.0,1.0,316.8796,332.1844,334.5207
Mexico,0,15.75,3.0,2.0,1.0,2.0,3.0,429.2803,516.3542,446.4192
Mexico,1,15.83,8.0,1.0,0.0,0.0,3.0,497.1257,409.3914,473.4614
Mexico,0,15.58,1.0,0.0,0.0,1.0,2.0,340.2477,286.2761,278.5714
Mexico,0,15.58,10.0,0.0,0.0,0.0,4.0,519.4033,493.9799,532.2081
Mexico,1,16.17,24.0,7.0,0.0,3.0,5.0,524.077,535.369,436.1619
Mexico,0,16.0,3.0,2.0,1.0,6.0,7.0,343.8308,332.4682,384.5021
Mexico,0,15.75,7.0,3.0,0.0,2.0,4.0,456.621,499.5935,468.79900000000004
Mexico,1,16.0,5.0,2.0,0.0,5.0,3.0,454.7515,475.9546,426.837
Mexico,0,15.92,18.0,13.0,0.0,10.0,15.0,522.8307,527.6616,521.9508
Mexico,1,15.5,3.0,2.0,1.0,1.0,0.0,420.4783,437.8277,401.6598
Mexico,0,15.92,1.0,1.0,0.0,0.0,1.0,454.7515,452.9203,412.8497
Mexico,1,15.33,4.0,4.0,1.0,1.0,1.0,407.7037,469.2824,362.1223
Mexico,1,16.17,1.0,1.0,1.0,1.0,1.0,472.6671,469.4412,478.1238
Mexico,0,15.58,7.0,1.0,0.0,2.0,5.0,377.3251,428.2204,400.0746
Mexico,0,16.17,1.0,1.0,1.0,1.0,1.0,324.9805,361.8194,354.8489
Mexico,0,16.17,2.0,2.0,0.0,0.0,2.0,360.8117,379.4622,444.5543
Mexico,1,16.08,8.0,1.0,0.0,0.0,0.0,491.6732,491.0465,489.3137
Mexico,0,15.42,5.0,0.0,0.0,0.0,5.0,402.7964,449.7927,396.0649
Mexico,1,15.67,10.0,0.0,0.0,0.0,5.0,515.1192,504.6292,518.5006
Mexico,1,15.25,9.0,4.0,0.0,0.0,2.0,337.9109,379.6842,387.6725
Mexico,1,15.92,6.0,3.0,0.0,2.0,3.0,520.7275,501.3725,498.3588
Mexico,1,15.58,6.0,1.0,1.0,0.0,0.0,424.9182,426.7073,412.8497
Mexico,1,16.0,6.0,3.0,0.0,3.0,1.0,388.8534,457.6854,441.7568
Mexico,1,15.67,1.0,1.0,0.0,0.0,1.0,505.1488,545.8539,548.7132
Mexico,1,15.5,2.0,1.0,0.0,1.0,0.0,342.8182,359.1115,365.2928
Mexico,0,15.42,10.0,2.0,0.0,2.0,0.0,485.6753,492.376,555.5203
Mexico,0,15.25,3.0,0.0,0.0,0.0,1.0,494.7889,463.6664,526.6132
Mexico,1,15.83,5.0,3.0,0.0,2.0,1.0,292.343,390.1691,380.1194
Mexico,0,15.33,2.0,2.0,2.0,3.0,2.0,408.4047,410.5776,376.3894
Mexico,0,16.08,2.0,0.0,1.0,0.0,1.0,373.4304,398.5484,383.2898
Mexico,1,15.5,2.0,2.0,0.0,0.0,1.0,430.0592,433.7767,473.4614
Mexico,1,15.58,3.0,2.0,0.0,0.0,0.0,340.7151,348.8649,372.1
Mexico,1,16.08,2.0,1.0,0.0,1.0,1.0,454.4399,521.2302,430.8467
Mexico,0,15.42,8.0,3.0,0.0,6.0,8.0,520.1823,531.5109,515.4233
Mexico,1,16.0,8.0,5.0,0.0,2.0,2.0,516.6771,542.756,534.3529
Mexico,0,15.58,2.0,0.0,0.0,0.0,0.0,495.0226,501.1974,488.1015
Mexico,0,15.67,4.0,1.0,0.0,1.0,1.0,432.4739,355.2434,369.0228
Mexico,1,15.42,2.0,2.0,2.0,1.0,2.0,315.3217,360.6207,299.0862
Mexico,1,15.33,10.0,5.0,2.0,3.0,3.0,439.4843,454.6671,500.5035
Mexico,0,15.58,3.0,2.0,0.0,0.0,3.0,376.702,396.30300000000005,458.1686
Mexico,1,15.58,2.0,1.0,0.0,0.0,0.0,392.9039,392.2343,444.1813
Mexico,1,16.0,4.0,1.0,0.0,2.0,0.0,419.4656,501.3725,443.6218
Mexico,1,15.33,4.0,0.0,0.0,0.0,1.0,556.4808,541.0880000000001,553.0026
Mexico,1,16.0,3.0,2.0,0.0,0.0,3.0,490.1932,440.2106,448.191
Mexico,0,16.08,6.0,1.0,0.0,1.0,1.0,361.5906,457.0904,401.6598
Mexico,1,15.58,8.0,2.0,2.0,0.0,12.0,583.6657,583.2659,537.1503
Mexico,0,15.42,2.0,0.0,0.0,0.0,0.0,546.9777,554.9277,531.2756
Mexico,0,16.08,5.0,2.0,2.0,0.0,0.0,552.5082,559.7394,502.2753
Mexico,1,16.0,4.0,2.0,0.0,1.0,1.0,354.658,375.8715,381.9843
Mexico,0,15.75,1.0,1.0,1.0,1.0,1.0,352.7107,302.1546,341.9806
Mexico,1,16.08,7.0,2.0,0.0,0.0,15.0,497.2815,524.8841,514.1179
Mexico,0,16.0,6.0,0.0,0.0,3.0,4.0,453.1936,496.3857,443.6218
Mexico,1,15.75,12.0,0.0,0.0,0.0,5.0,511.61400000000003,610.0341,532.2081
Mexico,1,15.25,3.0,1.0,2.0,0.0,6.0,417.6741,445.9296,416.5796
Mexico,1,15.58,2.0,0.0,0.0,30.0,1.0,403.3416,400.4951,400.7273
Mexico,1,15.83,4.0,1.0,4.0,0.0,8.0,221.0703,246.3989,248.7318
Mexico,1,15.42,5.0,1.0,0.0,0.0,0.0,398.2785,387.0713,377.6949
Mexico,0,15.58,6.0,6.0,6.0,1.0,3.0,425.6193,418.2763,434.8564
Mexico,0,15.25,3.0,1.0,0.0,0.0,4.0,457.3999,429.1827,433.1779
Mexico,0,16.17,3.0,1.0,0.0,0.0,2.0,470.9534,453.2411,421.8016
Mexico,1,15.42,3.0,2.0,0.0,3.0,0.0,332.0689,351.2479,329.765
Mexico,1,16.0,5.0,3.0,0.0,2.0,5.0,400.0701,434.015,451.6412
Mexico,1,15.67,4.0,1.0,0.0,0.0,1.0,382.7777,410.5034,389.1645
Mexico,0,15.5,1.0,1.0,0.0,0.0,0.0,441.19800000000004,402.5582,410.332
Mexico,0,15.58,5.0,2.0,0.0,3.0,3.0,418.5309,472.4076,479.3361
Mexico,1,15.5,10.0,8.0,0.0,3.0,0.0,516.2876,590.9707,458.5416
Mexico,0,15.83,3.0,0.0,0.0,0.0,4.0,497.2036,441.0515,438.8661
Mexico,1,16.17,3.0,2.0,1.0,3.0,2.0,455.7641,508.4419,386.74
Mexico,1,15.58,10.0,5.0,15.0,5.0,5.0,383.0893,367.9284,356.9004
Mexico,1,15.58,3.0,2.0,0.0,3.0,0.0,635.465,600.6613,603.0772
Mexico,1,15.25,3.0,0.0,0.0,0.0,4.0,502.81199999999995,492.6351,494.9086
Mexico,0,15.58,5.0,0.0,0.0,0.0,3.0,381.1419,470.7235,401.5666
Mexico,0,15.58,15.0,6.0,0.0,0.0,10.0,555.0787,525.4162,513.1854
Mexico,1,15.58,4.0,0.0,0.0,1.0,0.0,484.3511,512.4928,459.4741
Mexico,1,15.58,2.0,1.0,0.0,2.0,3.0,414.2468,529.0145,476.2589
Mexico,1,16.08,15.0,0.0,0.0,2.0,20.0,496.4247,512.4928,489.2204
Mexico,1,15.42,19.0,5.0,3.0,2.0,9.0,468.305,413.2041,464.1365
Mexico,1,15.33,2.0,2.0,0.0,2.0,0.0,416.1162,380.7962,443.4353
Mexico,1,15.83,3.0,1.0,0.0,0.0,2.0,361.0453,435.4448,430.2872
Mexico,0,16.17,18.0,6.0,0.0,0.0,6.0,423.594,434.4756,416.5796
Mexico,1,15.5,7.0,1.0,0.0,2.0,0.0,537.3189,583.9807,543.398
Mexico,1,15.25,16.0,5.0,0.0,4.0,3.0,432.7076,502.9611,474.1141
Mexico,0,15.33,0.0,0.0,0.0,0.0,0.0,383.4008,477.2995,365.2928
Mexico,0,15.42,7.0,3.0,0.0,0.0,0.0,406.8469,402.5582,359.6046
Mexico,0,16.0,2.0,1.0,0.0,1.0,0.0,487.7006,457.8122,403.5248
Mexico,0,15.42,4.0,2.0,3.0,3.0,4.0,358.9422,355.083,383.9426
Mexico,1,15.92,5.0,2.0,0.0,0.0,0.0,388.0745,407.0084,331.5367
Mexico,1,16.08,10.0,1.0,0.0,0.0,3.0,501.2541,475.9546,523.536
Mexico,1,15.92,2.0,1.0,0.0,1.0,2.0,403.7311,483.9771,401.9396
Mexico,1,15.75,2.0,2.0,2.0,2.0,2.0,425.1519,424.3244,424.972
Mexico,0,15.67,1.0,1.0,0.0,0.0,2.0,439.718,431.4282,463.8568
Mexico,0,15.42,10.0,0.0,0.0,5.0,5.0,471.4208,493.9799,528.4782
Mexico,0,15.83,3.0,0.0,0.0,0.0,1.0,497.1257,451.6372,426.6505
Mexico,0,15.5,3.0,3.0,0.0,0.0,0.0,367.9779,365.6687,320.8131
Mexico,1,15.42,3.0,1.0,1.0,0.0,0.0,389.0871,464.0399,404.4573
Mexico,0,16.0,2.0,1.0,0.0,1.0,1.0,380.36300000000006,409.8559,440.1716
Mexico,1,15.92,3.0,0.0,0.0,0.0,2.0,452.1031,493.4294,442.0366
Mexico,0,15.42,2.0,2.0,0.0,1.0,0.0,368.2895,375.1316,310.276
Mexico,0,15.83,3.0,3.0,0.0,0.0,1.0,406.3016,393.8972,352.7975
Mexico,0,15.67,5.0,2.0,0.0,2.0,1.0,303.2482,342.4123,348.4148
Mexico,0,15.58,2.0,1.0,2.0,1.0,1.0,349.9844,381.7878,416.8594
Mexico,1,16.0,10.0,6.0,0.0,7.0,10.0,543.7841,556.8948,487.4487
Mexico,0,15.33,1.0,1.0,0.0,1.0,1.0,395.3186,415.3893,415.3674
Mexico,1,16.0,7.0,3.0,0.0,0.0,0.0,513.1718,525.0429,511.6934
Mexico,1,15.58,3.0,2.0,1.0,4.0,1.0,398.4343,426.7073,435.2294
Mexico,0,15.67,5.0,3.0,0.0,3.0,4.0,397.1101,402.3978,424.0395
Mexico,1,15.92,5.0,2.0,0.0,1.0,2.0,437.1475,457.8443,447.3517
Mexico,0,15.58,5.0,3.0,0.0,2.0,0.0,498.0604,446.3444,464.69599999999997
Mexico,1,15.58,5.0,2.0,0.0,0.0,0.0,400.4596,366.2603,421.2421
Mexico,0,15.33,2.0,1.0,3.0,1.0,3.0,341.4161,309.6127,389.8172
Mexico,0,15.75,5.0,4.0,1.0,3.0,1.0,438.7054,402.7186,468.6125
Mexico,0,15.92,2.0,0.0,0.0,0.0,0.0,404.51,448.269,414.6214
Mexico,0,15.5,2.0,1.0,3.0,1.0,2.0,352.3991,349.309,319.2279
Mexico,0,16.0,10.0,0.0,0.0,3.0,0.0,571.3585,582.9958,563.633
Mexico,1,16.17,6.0,2.0,1.0,1.0,2.0,437.0696,498.9101,512.6259
Mexico,1,15.5,2.0,1.0,0.0,1.0,5.0,389.7881,420.3529,411.2645
Mexico,0,15.67,5.0,4.0,0.0,0.0,4.0,376.3904,348.1863,325.0093
Mexico,0,15.83,2.0,1.0,0.0,1.0,2.0,443.5348,485.6397,490.8057
Mexico,1,15.92,7.0,7.0,0.0,3.0,10.0,406.769,438.7809,394.9459
Mexico,0,16.08,15.0,3.0,1.0,5.0,4.0,575.8763,604.7285,566.0574
Mexico,1,15.33,5.0,0.0,0.0,1.0,0.0,408.7942,420.194,413.7822
Mexico,1,15.58,2.0,1.0,0.0,1.0,4.0,457.8673,509.95099999999996,438.9593
Mexico,0,16.17,1.0,0.0,0.0,0.0,0.0,467.2145,415.3893,467.8665
Mexico,0,15.67,12.0,4.0,0.0,2.0,2.0,469.3955,443.6178,501.9955
Mexico,1,15.83,2.0,2.0,0.0,1.0,2.0,417.6741,441.1638,397.7434
Mexico,1,16.0,3.0,2.0,0.0,0.0,0.0,413.0005,408.5971,364.3603
Mexico,1,15.92,1.0,0.0,0.0,0.0,6.0,302.0798,338.3801,347.5755
Mexico,0,15.33,3.0,1.0,0.0,2.0,4.0,397.3438,436.9616,321.4659
Mexico,1,15.67,5.0,0.0,0.0,0.0,3.0,518.1569999999999,596.8486,568.3887
Mexico,1,15.5,3.0,0.0,1.0,0.0,0.0,384.2577,384.6883,384.2223
Mexico,0,15.92,15.0,2.0,0.0,2.0,10.0,425.4635,452.2788,451.0817
Mexico,0,15.75,7.0,3.0,1.0,0.0,8.0,531.4769,542.1768,571.6524
Mexico,1,16.17,1.0,1.0,1.0,0.0,2.0,377.9483,453.0784,452.9467
Mexico,0,16.17,1.0,0.0,0.0,0.0,2.0,332.4583,331.0247,354.1029
Mexico,1,15.67,2.0,1.0,0.0,1.0,2.0,510.0561,521.8657,472.5289
Mexico,0,15.83,4.0,3.0,1.0,2.0,1.0,457.5557,445.8632,459.7538
Mexico,1,15.58,5.0,4.0,0.0,1.0,3.0,358.4748,414.7927,437.0944
Mexico,0,15.75,10.0,4.0,4.0,8.0,0.0,530.3085,566.9569,567.6427
Mexico,0,15.83,16.0,15.0,18.0,15.0,16.0,295.3809,292.6917,315.8709
Mexico,1,15.92,7.0,6.0,1.0,3.0,0.0,459.1915,478.3375,437.7471
Mexico,1,16.17,6.0,3.0,0.0,2.0,1.0,368.6789,379.843,329.765
Mexico,1,15.67,6.0,5.0,0.0,1.0,4.0,254.0972,301.3652,265.5166
Mexico,1,15.58,1.0,1.0,0.0,0.0,0.0,392.1249,406.5319,361.1899
Mexico,0,15.25,8.0,8.0,0.0,3.0,4.0,387.6071,348.9882,262.3461
Mexico,1,15.58,1.0,1.0,0.0,0.0,1.0,423.594,445.7708,411.9172
Mexico,0,16.0,2.0,1.0,1.0,1.0,1.0,328.7973,313.4621,320.5334
Mexico,1,15.5,6.0,3.0,1.0,0.0,0.0,520.5717,501.3725,436.0686
Mexico,1,15.58,3.0,2.0,2.0,0.0,2.0,344.9213,356.80800000000005,285.0988
Mexico,0,15.25,6.0,1.0,0.0,1.0,9.0,601.5033,559.0979,532.0216
Mexico,1,16.17,12.0,2.0,0.0,1.0,4.0,478.1196,541.8823,482.7863
Mexico,0,15.42,1.0,1.0,0.0,1.0,0.0,411.6763,408.1718,414.7147
Mexico,0,15.42,6.0,2.0,0.0,0.0,2.0,518.6244,502.8013,534.0731
Mexico,0,15.58,12.0,1.0,0.0,0.0,13.0,420.0888,383.3917,412.1969
Mexico,1,15.67,8.0,1.0,0.0,0.0,0.0,463.7872,528.0613,488.9407
Mexico,1,15.92,5.0,2.0,0.0,0.0,7.0,369.0684,479.9261,357.8329
Mexico,1,15.58,4.0,2.0,3.0,1.0,0.0,433.2528,395.8881,385.8075
Mexico,0,15.75,8.0,5.0,1.0,0.0,2.0,505.6161,525.9775,485.5837
Mexico,1,15.67,1.0,1.0,1.0,1.0,1.0,259.7056,282.9372,252.7415
Mexico,1,16.08,10.0,0.0,0.0,0.0,2.0,456.8547,490.2521,427.7695
Mexico,1,15.58,4.0,2.0,0.0,2.0,1.0,374.8325,412.5686,387.486
Mexico,0,15.83,4.0,2.0,4.0,0.0,0.0,439.718,507.61300000000006,514.4909
Mexico,1,15.58,2.0,2.0,0.0,0.0,1.0,337.3656,392.4726,313.0735
Mexico,1,16.08,16.0,6.0,0.0,0.0,0.0,400.6154,462.5307,414.0619
Mexico,1,15.67,4.0,2.0,0.0,1.0,0.0,389.9439,478.4964,419.0041
Mexico,0,16.08,6.0,5.0,0.0,2.0,12.0,477.5744,436.9616,445.4868
Mexico,1,15.83,2.0,0.0,0.0,0.0,0.0,355.2812,448.8686,484.6512
Mexico,1,15.92,4.0,4.0,0.0,2.0,3.0,404.8995,498.1952,429.6345
Mexico,1,15.75,10.0,0.0,0.0,0.0,0.0,498.1383,549.0311,457.3294
Mexico,1,16.08,5.0,3.0,1.0,7.0,6.0,385.0366,471.983,438.8661
Mexico,1,15.25,3.0,2.0,2.0,0.0,1.0,443.0675,495.8123,392.3349
Mexico,1,16.08,3.0,2.0,0.0,1.0,0.0,363.0706,367.849,353.1705
Mexico,1,16.0,2.0,1.0,0.0,1.0,1.0,340.014,412.4098,351.0257
Mexico,0,15.92,2.0,1.0,0.0,2.0,1.0,474.6144,452.2788,506.9377
Mexico,0,15.5,1.0,1.0,0.0,0.0,1.0,536.9294,518.9204,460.6863
Mexico,1,15.92,2.0,2.0,1.0,0.0,2.0,400.7711,457.6854,396.9974
Mexico,0,15.25,2.0,0.0,0.0,1.0,1.0,403.3416,429.0224,483.7188
Mexico,1,15.5,8.0,5.0,0.0,0.0,4.0,417.3625,468.0115,514.4909
Mexico,0,16.08,2.0,0.0,0.0,1.0,0.0,545.4977,526.9399,489.5934
Mexico,1,16.0,5.0,0.0,0.0,1.0,4.0,437.3812,518.053,494.6289
Mexico,0,15.33,6.0,2.0,0.0,0.0,2.0,523.9212,470.8839,430.194
Mexico,0,16.17,4.0,0.0,0.0,1.0,2.0,343.2077,377.0563,429.2615
Mexico,0,15.25,5.0,0.0,0.0,0.0,2.0,501.7993,455.4865,534.0731
Mexico,1,15.58,3.0,1.0,0.0,0.0,1.0,507.5635,600.8201,493.6031
Mexico,1,15.83,8.0,2.0,0.0,0.0,0.0,382.0766,379.0487,381.7978
Mexico,0,15.92,2.0,2.0,0.0,2.0,0.0,518.3907,468.3177,485.30400000000003
Mexico,1,15.83,6.0,0.0,0.0,0.0,2.0,421.2572,423.5301,390.47
Mexico,1,16.08,14.0,4.0,0.0,0.0,6.0,475.3155,477.5432,415.6471
Mexico,1,15.75,16.0,2.0,0.0,2.0,9.0,558.3502,582.2333,523.8157
Mexico,0,15.67,2.0,1.0,0.0,1.0,1.0,618.0947,536.4830000000001,559.903
Mexico,0,15.92,3.0,2.0,2.0,2.0,2.0,406.4574,323.1656,424.0395
Mexico,1,15.67,18.0,2.0,0.0,3.0,2.0,484.8185,450.5366,449.4965
Mexico,1,15.33,5.0,1.0,1.0,1.0,1.0,422.4256,422.0209,337.5979
Mexico,0,16.0,3.0,2.0,0.0,0.0,4.0,473.9913,495.5838,426.5573
Mexico,1,15.75,10.0,2.0,0.0,2.0,5.0,545.6535,621.3133,578.5528
Mexico,1,15.83,11.0,5.0,0.0,1.0,0.0,462.1514,396.603,453.2264
Mexico,0,16.17,1.0,1.0,2.0,2.0,1.0,352.5549,433.1925,416.2066
Mexico,0,15.25,16.0,4.0,10.0,2.0,0.0,456.621,426.7769,465.069
Mexico,0,15.83,10.0,5.0,0.0,2.0,1.0,417.8299,295.8995,365.5725
Mexico,0,16.0,8.0,0.0,0.0,0.0,0.0,440.49699999999996,451.4768,419.3771
Mexico,0,15.83,3.0,2.0,0.0,0.0,4.0,412.4552,349.6298,371.8202
Mexico,1,16.0,6.0,5.0,0.0,3.0,4.0,403.8869,433.0618,427.7695
Mexico,0,16.08,4.0,1.0,0.0,0.0,2.0,525.9464,504.4052,419.3771
Mexico,1,15.83,10.0,2.0,0.0,0.0,0.0,529.1401,484.7714,465.3488
Mexico,1,15.92,3.0,2.0,0.0,1.0,3.0,450.4674,470.4738,410.332
Mexico,1,16.17,2.0,0.0,0.0,0.0,0.0,438.1601,471.983,451.0817
Mexico,0,15.75,21.0,0.0,0.0,0.0,18.0,578.9142,533.2752,514.4909
Mexico,1,15.42,5.0,2.0,4.0,3.0,2.0,353.1002,387.7861,340.0224
Mexico,0,15.42,7.0,3.0,0.0,0.0,0.0,497.9826,546.1865,501.7158
Mexico,1,16.0,30.0,25.0,0.0,5.0,10.0,552.4303,597.6429,532.0216
Mexico,0,16.08,2.0,1.0,0.0,0.0,2.0,403.0301,474.4125,403.1518
Mexico,1,15.33,6.0,2.0,0.0,0.0,6.0,358.6306,453.3962,334.1477
Mexico,1,16.08,25.0,3.0,0.0,3.0,15.0,390.645,428.296,402.5923
Mexico,0,15.67,1.0,0.0,0.0,0.0,0.0,515.0413,497.9896,539.668
