CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,0,15.67,3,3,1,1,2,2,2,485.1301,509.0565,470.6639
Mexico,0,15.58,3,3,2,1,1,1,1,515.275,527.6616,479.0563
Mexico,1,16.08,3,3,2,2,2,2,2,445.0927,496.6066,422.4543
Mexico,0,15.5,4,4,2,2,1,1,1,470.0187,455.9677,498.2656
Mexico,1,15.92,3,3,2,2,1,1,1,388.3081,448.94800000000004,464.7893
Mexico,0,15.67,3,3,1,1,1,1,1,424.6066,414.5072,397.9299
Mexico,0,15.67,2,3,3,1,2,1,1,463.6314,468.4781,479.9888
Mexico,1,16.17,2,4,1,2,1,1,1,427.4887,471.8242,480.9213
Mexico,0,15.5,3,4,1,1,1,1,1,467.6819,490.4514,392.8944
Mexico,1,15.67,4,4,1,1,1,1,1,415.6489,393.5052,369.5822
Mexico,0,16.0,1,4,1,1,1,1,2,403.809,465.1099,400.0746
Mexico,0,15.75,3,3,2,2,2,1,2,444.3916,412.1815,451.7344
Mexico,0,16.17,1,4,1,1,1,1,1,455.0631,433.0321,521.0183
Mexico,1,16.17,3,4,1,1,1,2,1,499.151,500.4193,470.6639
Mexico,1,15.83,3,4,2,1,1,1,1,415.4152,401.2894,367.99699999999996
Mexico,1,15.5,3,3,2,1,2,2,2,562.5565,516.4644,478.1238
Mexico,0,15.75,4,4,2,1,1,1,1,437.2254,397.0247,420.5893
Mexico,1,15.67,3,4,3,1,2,2,1,344.6876,425.913,359.6979
Mexico,1,15.5,4,4,1,1,1,1,1,358.6306,348.8649,397.2771
Mexico,0,15.67,3,4,2,1,1,2,1,437.0696,504.325,450.1492
Mexico,1,15.92,4,4,2,1,1,1,1,387.3734,451.33099999999996,416.4864
Mexico,1,15.92,4,4,1,1,1,1,1,374.7546,418.6848,394.1999
Mexico,1,16.0,1,4,1,1,1,1,1,382.6219,343.4636,431.3129
Mexico,0,16.0,4,4,1,1,2,1,1,499.6183,429.8243,477.4711
Mexico,1,15.67,2,4,2,1,1,1,1,339.0793,386.9918,369.86199999999997
Mexico,1,15.92,1,4,2,1,1,2,1,427.1771,418.7642,368.37
Mexico,1,16.08,2,3,2,2,2,2,2,402.329,432.2675,338.2507
Mexico,1,16.08,3,4,1,1,1,1,1,472.1218,502.0874,522.8833
